OBJECTID,LM_ID,LM_NAME,CATEGORY,LM_TYPE,SDA_CAT,STR_ADDR,UNIT,MUN,PR,POSTAL,PHONE,WEBSITE,Type,ExtDay,WARDNUM,ROPADRID,x,y
20,CC-OTH-281,Appleseed Academy of Early Learning,Social Services,Child Care (Other),Child Care Centre,2067 Stanfield Rd,,Mississauga,ON,L6X 1J3,905-459-9219,https://peelchildcare.cioc.ca/record/CDR1139,Community-Based For-Profit Centre,No,1,117004,-8858362.25,5402790.314
21,CC-OTH-292,Applewood Montessori Academy & Daycare (Applewood),Social Services,Child Care (Other),Child Care Centre,333 Fairhill Ave,6-Jan,Brampton,ON,L7A 3N9,416-951-4688,https://peelchildcare.cioc.ca/record/CDR0036,Community-Based For-Profit Centre,No,6,244754,-8885290.696,5417979.308
22,CC-OTH-367,Applewood Montessori Academy & Daycare (Downtown),Social Services,Child Care (Other),Child Care Centre,98A Queen St W,,Brampton,ON,L6X1A4,905-453-2022,https://peel.cioc.ca/record/CDR1797?Number=1,Community-Based For-Profit Centre,No,1,389923,-8879081.864,5416694.621
23,CC-OTH-016,Applewood Rainbow Montessori School,Social Services,Child Care (Other),Child Care Centre,24 Stavebank Rd,,Mississauga,ON,L5G 2T5,905-274-2321,https://peelchildcare.cioc.ca/record/CDR0576,Community-Based For-Profit Centre,No,1,,-8859601.757,5396498.851
24,CC-PLP-133,Arnott Charlton (PLASP),Social Services,Child Care (PLASP),Child Care Centre,140 Winterfold Dr,,Brampton,ON,L6V 1V6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0751,School-Based Centre,Yes,1,253608,-8879688.916,5421450.809
25,CC-PLP-016,Artesian Drive (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3325 Artesian Dr,,Mississauga,ON,L5M 7J8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0717,School-Based Centre,Yes,8,282747,-8874296.447,5395000.8
26,CC-PLP-237,Aylesbury (PLASP),Social Services,Child Care (PLASP),Child Care Centre,25 Aylesbury Dr,,Brampton,ON,L7A 0V3,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1396,School-Based Centre,Yes,6,,-8886809.934,5415770.541
27,CC-FDC-021,Barondale (Family Day Care),Social Services,Child Care (Family Day),Child Care Centre,200 Barondale Dr,,Mississauga,ON,L5T 2J8,416-922-3434,https://peelchildcare.cioc.ca/record/CDR0858,School-Based Centre,Yes,5,301179,-8867772.843,5406618.274
28,CC-YMC-058,Belfountain (YMCA),Social Services,Child Care (YMCA),Child Care Centre,17247 Shaws Creek Rd,,Caledon,ON,L6P 3A5,647-367-9321,https://peelchildcare.cioc.ca/record/CDR1287,School-Based Centre,Yes,1,326398,-8907594.743,5432745.578
29,CC-FDC-011,Beryl Ford (Family Day Care),Social Services,Child Care (Family Day),Child Care Centre,45 Ironshield Dr,,Brampton,ON,L6P 3N5,416-922-3434,https://peelchildcare.cioc.ca/record/CDR1038,School-Based Centre,Yes,10,260825,-8868767.679,5433106.72
30,CC-PLP-128,Birchbank (PLASP),Social Services,Child Care (PLASP),Child Care Centre,52 Birchbank Rd,,Brampton,ON,L6T 1L7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1049,School-Based Centre,Yes,7,75029,-8872799.608,5419618.927
31,CC-PLP-111,Bishop Francis Allen (PLASP),Social Services,Child Care (PLASP),Child Care Centre,325 McMurchy Ave S,,Brampton,ON,L6Y 1Z4,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0753,School-Based Centre,Yes,3,282705,-8877332.29,5413961.894
32,CC-PLP-063,Bishop Scalabrini (PLASP),Social Services,Child Care (PLASP),Child Care Centre,225 Central Pky W,,Mississauga,ON,L5B 3J5,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0680,School-Based Centre,Yes,7,221571,-8864983.299,5401398.67
33,CC-OTH-237,Bizzy Buddies Learning and Childcare,Social Services,Child Care (Other),Child Care Centre,12612 Highway 50 ,13A,Caledon,ON,L7E 1T6,905-857-7648,https://peelchildcare.cioc.ca/record/CDR0976,Community-Based For-Profit Centre,No,5,392161,-8873551.998,5443738.011
34,CC-PLP-205,Blessed Michael J. McGivney (PLASP),Social Services,Child Care (PLASP),Child Care Centre,450 Fernforest Dr,,Brampton,ON,L6R 2P7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0786,School-Based Centre,Yes,9,86592,-8879757.872,5427254.196
35,CC-OTH-040,Blue Elephant Daycare,Social Services,Child Care (Other),Child Care Centre,1322 Hurontario St,,Mississauga,ON,L5G 3H3,905-891-1279,https://peelchildcare.cioc.ca/record/CDR0577,Community-Based For-Profit Centre,No,1,140228,-8860005.322,5397800.66
36,CC-YMC-026,Bolton YMCA Child Care,Social Services,Child Care (YMCA),Child Care Centre,12295 Highway 50,Box 812,Caledon,ON,L7E 5T5,905-857-3531 ext 300,https://peelchildcare.cioc.ca/record/CAL0951,Community-Based Non-Profit Centre,No,5,391971,-8872426.564,5442954.17
37,CC-OTH-293,Boni Montessori School,Social Services,Child Care (Other),Child Care Centre,9886 Torbram Rd,201A,Brampton,ON,L6S 3L9,905-790-2664,https://peelchildcare.cioc.ca/record/CDR1356,Community-Based For-Profit Centre,No,8,288806,-8875236.806,5426691.829
38,CC-YMC-017,Brampton YMCA,Social Services,Child Care (YMCA),Child Care Centre,20 Union St,,Brampton,ON,L6V 1R2,905-451-1400 ext 440,https://peelchildcare.cioc.ca/record/CDR0421,Community-Based Non-Profit Centre,No,1,,-8878738.934,5417375.308
39,CC-PLP-175,Brandon Gate (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3800 Brandon Gate Dr,,Mississauga,ON,L4T 3V9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1045,School-Based Centre,Yes,5,239694,-8865629.736,5424145.534
40,CC-PLP-096b,Brian W. Fleming (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3255 Havenwood Dr,,Mississauga,ON,L4X 2M2,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0689,School-Based Centre,Yes,3,22672,-8859589.833,5406540.193
41,CC-PLP-096a,Brian W. Fleming Early Learning Centre (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3255 Havenwood Dr,,Mississauga,ON,L4X 2M2,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0516,School-Based Centre,No,3,,-8859604.597,5406584.404
42,CC-PLP-082,Briarwood (PLASP),Social Services,Child Care (PLASP),Child Care Centre,1065 Mississauga Valley Blvd,,Mississauga,ON,L5A 2A1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0681,School-Based Centre,Yes,4,222727,-8863218.606,5404068.244
43,CC-OTH-086,Bright Scholars Academy Inc. - Falconer,Social Services,Child Care (Other),Child Care Centre,24 Falconer Dr,,Mississauga,ON,L5N 1B1,905-826-3595,https://peelchildcare.cioc.ca/record/CDR0551,Community-Based For-Profit Centre,No,11,105102,-8875152.317,5403014.761
44,CC-OTH-071,Bright Scholars Academy Inc. - Kirwin,Social Services,Child Care (Other),Child Care Centre,3180 Kirwin Ave,,Mississauga,ON,L5A 2K7,905-896-4553,https://peelchildcare.cioc.ca/record/CDR1019,Community-Based For-Profit Centre,No,7,,-8863059.876,5401464.2
45,CC-OTH-059,Bright Scholars Montessori - Montevideo,Social Services,Child Care (Other),Child Care Centre,5920 Montevideo Rd,,Mississauga,ON,L5N 3J5,905-542-1895,https://peelchildcare.cioc.ca/record/CDR0390,Community-Based For-Profit Centre,No,9,,-8877577.345,5400817.889
46,CC-OTH-357,Bright Scholars Montessori Caledon,Social Services,Child Care (Other),Child Care Centre,225 Dougall Ave,,Caledon,ON,L7C 2H1,905-849-0762,https://peel.cioc.ca/record/CDR1758,Community-Based For-Profit Centre,No,2,477652,-8886226.074,5427877.459
47,CC-OTH-265,BrightPath - Avondale,Social Services,Child Care (Other),Child Care Centre,55 Avondale Blvd,,Brampton,ON,L6W 2C4,905-799-2212,https://peelchildcare.cioc.ca/record/CDR0391,Community-Based For-Profit Centre,No,7,281244,-8872100.096,5420114.116
48,CC-OTH-295,BrightPath - Bolton,Social Services,Child Care (Other),Child Care Centre,14 McEwan Dr W,1,Caledon,ON,L7E 1H1,905-857-4634,https://peelchildcare.cioc.ca/record/CAL0099,Community-Based For-Profit Centre,No,5,392144,-8873972.638,5443840.932
49,CC-OTH-314,BrightPath - Charolais,Social Services,Child Care (Other),Child Care Centre,305 Charolais Blvd,,Brampton,ON,L6Y 2R2,905-452-5437,https://peelchildcare.cioc.ca/record/CDR1405,Community-Based For-Profit Centre,No,4,253772,-8877654.412,5412834.74
50,CC-OTH-139,BrightPath - Dixie,Social Services,Child Care (Other),Child Care Centre,4560 Dixie Rd,,Mississauga,ON,L4W 1N2,905-629-8849,https://peelchildcare.cioc.ca/record/CDR0413,Community-Based For-Profit Centre,No,3,274117,-8863018.629,5408821.807
51,CC-OTH-125,BrightPath - Matheson East,Social Services,Child Care (Other),Child Care Centre,309 Matheson Blvd E,,Mississauga,ON,L5C 3N6,905-507-9796,https://peelchildcare.cioc.ca/record/CDR0509,Community-Based For-Profit Centre,No,5,142821,-8867642.47,5407181.368
52,CC-OTH-121,BrightPath - Matheson West,Social Services,Child Care (Other),Child Care Centre,155 Matheson Blvd W,C,Mississauga,ON,L5R 3L5,905-568-4770,https://peelchildcare.cioc.ca/record/CDR0504,Community-Based For-Profit Centre,No,5,3970,-8869202.362,5406258.602
53,CC-OTH-266,BrightPath - Mill St.,Social Services,Child Care (Other),Child Care Centre,224 Mill St S,,Brampton,ON,L6Y 1T8,905-456-1798,https://peelchildcare.cioc.ca/record/CDR0410,Community-Based For-Profit Centre,No,3,52547,-8877344.566,5415125.033
54,CC-OTH-118,BrightPath - Milverton,Social Services,Child Care (Other),Child Care Centre,100 Milverton Dr,,Mississauga,ON,L5R 4H1,905-568-1371,https://peelchildcare.cioc.ca/record/CDR0543,Community-Based For-Profit Centre,No,5,105036,-8869279.447,5406551.581
55,CC-OTH-150,BrightPath - Queen,Social Services,Child Care (Other),Child Care Centre,685 Queen St W,,Brampton,ON,L6V 1A1,905-456-2273,https://peelchildcare.cioc.ca/record/CDR0429,Community-Based For-Profit Centre,No,4,167178,-8880578.848,5414627.588
56,CC-OTH-192,BrightPath - Sandalwood,Social Services,Child Care (Other),Child Care Centre,170 Sandalwood Pky E,11,Brampton,ON,L6Z 1Y5,905-846-4656,https://peelchildcare.cioc.ca/record/CDR0423,Community-Based For-Profit Centre,No,2,293972,-8883104.382,5423254.938
57,CC-OTH-091,BrightPath - Torquay Mews,Social Services,Child Care (Other),Child Care Centre,2172 Torquay Mews,,Mississauga,ON,L5N 2M6,905-542-2835,https://peelchildcare.cioc.ca/record/CDR0595,Community-Based For-Profit Centre,No,9,97409,-8876899.14,5403033.454
58,CC-OTH-134,BrightPath - Traders,Social Services,Child Care (Other),Child Care Centre,220 Traders Blvd E,,Mississauga,ON,L4Z 1W7,905-712-2273,https://peelchildcare.cioc.ca/record/CDR0549,Community-Based For-Profit Centre,No,5,14935,-8868737.915,5407905.257
59,CC-OTH-043,BrightPath - Wolfedale,Social Services,Child Care (Other),Child Care Centre,3221 Wolfedale Rd,,Mississauga,ON,L5C 1V8,905-615-9991,https://peelchildcare.cioc.ca/record/CDR0468,Community-Based For-Profit Centre,No,6,96904,-8865674.856,5398799.913
60,CC-OTH-200,BrightPath Professor's Lake Campus,Social Services,Child Care (Other),Child Care Centre,2 Philosopher's Trail,10,Brampton,ON,L6S 5L7,905-792-7593,https://peelchildcare.cioc.ca/record/CDR0388,Community-Based For-Profit Centre,No,8,315913,-8876417.464,5426811.435
61,CC-OTH-166,BrightPath Queen Campus,Social Services,Child Care (Other),Child Care Centre,255 Queen St E,5,Brampton,ON,L6W 2B8,905-799-0782,https://peelchildcare.cioc.ca/record/CDR0399,Community-Based For-Profit Centre,No,3,281926,-8876983.891,5419023.394
62,CC-OTH-197,BrightPath Van Kirk Campus,Social Services,Child Care (Other),Child Care Centre,35 Van Kirk Dr ,19,Brampton,ON,L7A 1A5,905-456-7339,https://peelchildcare.cioc.ca/record/CDR0854,Community-Based For-Profit Centre,No,2,299628,-8882975.094,5419308.884
63,CC-OTH-239,Brilliant Minds Montessori - Bristol,Social Services,Child Care (Other),Child Care Centre,310 Bristol Rd E,,Mississauga,ON,L5V 2C8,905-501-0436,https://peelchildcare.cioc.ca/record/CDR0540,Community-Based For-Profit Centre,No,5,275293,-8866964.409,5406297.729
64,CC-OTH-097,Brilliant Minds Montessori - Mississauga Valley,Social Services,Child Care (Other),Child Care Centre,1275 Mississauga Valley Blvd,,Mississauga,ON,L5A 3R8,905-275-4144,https://peelchildcare.cioc.ca/record/CDR0511,Community-Based For-Profit Centre,No,4,,-8863730.245,5403288.097
65,CC-PLP-124,Brisdale (PLASP),Social Services,Child Care (PLASP),Child Care Centre,370 Brisdale Dr,,Brampton,ON,L7A 3K9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0779,School-Based Centre,No,6,249522,-8887407.492,5418885.959
66,CC-PLP-084,Britannia (PLASP),Social Services,Child Care (PLASP),Child Care Centre,1145 Swinbourne Dr,,Mississauga,ON,L5V 1C2,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0701,School-Based Centre,Yes,11,293953,-8872970.94,5404737.738
67,CC-PLP-232,Brookmede (PLASP),Social Services,Child Care (PLASP),Child Care Centre,2250 Council Ring Rd,,Mississauga,ON,L5L 1B7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0648,School-Based Centre,Yes,8,28184,-8869445.747,5394130.716
68,CC-OTH-322,Buds and Blossoms (Caledon),Social Services,Child Care (Other),Child Care Centre,2976 Charleston Sideroad,,Caledon,ON,L7K 0V8,519-942-2661,https://peelchildcare.cioc.ca/record/CDR1444,Community-Based For-Profit Centre,No,1,199749,-8905195.312,5443777.322
69,CC-OTH-189,Building Blocks Nursery School,Social Services,Child Care (Other),Child Care Centre,85 Sandalwood Pky E,,Brampton,ON,L6Z 4S3,905-846-3305,https://peelchildcare.cioc.ca/record/CDR0403,Community-Based For-Profit Centre,No,2,193281,-8883035.594,5422468.749
70,CC-PLP-094,Burnhamthorpe (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3465 Golden Orchard Dr,,Mississauga,ON,L4Y 3H7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0682,School-Based Centre,Yes,3,23291,-8860818.477,5406290.414
71,CC-PLP-138,Burnt Elm (PLASP),Social Services,Child Care (PLASP),Child Care Centre,85 Burnt Elm Dr,,Brampton,ON,L7A 1T8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0769,School-Based Centre,Yes,2,261637,-8885334.712,5421980.076
72,CC-OTH-183,Busy Bees Nursery School,Social Services,Child Care (Other),Child Care Centre,168 Kennedy Rd S,,Brampton,ON,L6W 3G6,905-454-7676,https://peelchildcare.cioc.ca/record/CDR0402,Community-Based For-Profit Centre,No,3,271052,-8875344.131,5416314.551
73,CC-OTH-350,Busy Hands 'N' Minds Childcare Centre Brampton,Social Services,Child Care (Other),Child Care Centre,8255 Financial Dr,,Brampton,ON,L6Y 0C1,905-569-2999,https://peelchildcare.cioc.ca/record/CDR1715,Community-Based For-Profit Centre,No,6,475853,-8882068.402,5409043.05
74,CC-OTH-241,Busy Hands 'n' Minds Childcare,Social Services,Child Care (Other),Child Care Centre,4615 Glen Erin Dr,,Mississauga,ON,L5M 4E8,905-569-2999,https://peelchildcare.cioc.ca/record/CDR0553,Community-Based For-Profit Centre,No,8,276408,-8873278.652,5396634.452
75,CC-YMC-056,Caledon Central (YMCA),Social Services,Child Care (YMCA),Child Care Centre,18357 Kennedy Rd,,Caledon,ON,L7K 1Y7,519-938-5566,https://peelchildcare.cioc.ca/record/CDR1091?Number=3,School-Based Centre,Yes,1,294896,-8903664.49,5445428.126
76,CC-YMC-059,Caledon East (YMCA),Social Services,Child Care (YMCA),Child Care Centre,15738 Airport Rd,,Caledon,ON,L6X 0E1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1289,School-Based Centre,Yes,3,84576,-8890155.092,5444305.65
77,CC-OTH-223,Caledon East Children's Place,Social Services,Child Care (Other),Child Care Centre,6029 Old Church Rd,,Caledon,ON,L7C 1H8,905-584-9189,https://peelchildcare.cioc.ca/record/CAL0321,Community-Based Non-Profit Centre,No,3,,-8890628.376,5445405.299
78,CC-OTH-224,Caledon Hills Montessori,Social Services,Child Care (Other),Child Care Centre,6046 Old Church Rd,,Caledon,ON,L0N 1E0,905-584-5114,https://peelchildcare.cioc.ca/record/CAL0122,Community-Based For-Profit Centre,No,3,85595,-8890662.801,5445561.788
79,CC-PLP-078,Canadian Martyrs (PLASP),Social Services,Child Care (PLASP),Child Care Centre,1185 Mississauga Valley Blvd,,Mississauga,ON,L5A 3R7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0683,School-Based Centre,Yes,4,249672,-8863552.357,5403637.055
80,CC-PLP-176,Carberry (PLASP),Social Services,Child Care (PLASP),Child Care Centre,526 Fernforest Dr,,Brampton,ON,L6R 0W1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0792,School-Based Centre,Yes,9,320758,-8880489.122,5427820.91
81,CC-OTH-354,Caring for Kids - Dundas St,Social Services,Child Care (Other),Child Care Centre,130 Dundas St E,101,Mississauga,ON,L5A 3V8,905-896-8125,https://peelchildcare.cioc.ca/record/CDR1733,Community-Based Non-Profit Centre,No,7,126334,-8862413.452,5401125.493
82,CC-OTH-047,Caring for Kids - The Centre,Social Services,Child Care (Other),Child Care Centre,1110 Caven St ,105,Mississauga,ON,L5G 4N4,905-274-4362,https://peelchildcare.cioc.ca/record/CDR0578,Community-Based Non-Profit Centre,No,1,133337,-8857778.017,5399103
83,CC-OTH-377,Casa Dee Montessori School,Social Services,Child Care (Other),Child Care Centre,12612 Hwy 50,13A,Caledon,ON,L7E1T6,905-955-2333,,Community-Based For-Profit Centre,No,5,392162,-8873540.481,5443757.657
84,CC-OTH-365,Casa Dee Montessori School,Social Services,Child Care (Other),Child Care Centre,625 Remembrance Rd,D103,Brampton,ON,L7A4P2,905-955-2333,https://peel.cioc.ca/record/CDR1795 ,Community-Based For-Profit Centre,No,6,482956,-8886489.665,5421684.682
85,CC-PLP-037,Cashmere (PLASP),Social Services,Child Care (PLASP),Child Care Centre,2455 Cashmere Ave,,Mississauga,ON,L5B 2M7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0684,School-Based Centre,Yes,7,232453,-8863927.61,5398358.554
86,CC-OTH-305,Castle Oaks (Caring for Kids),Social Services,Child Care (Other),Child Care Centre,155 Castle Oaks Cross,,Brampton,ON,L6P 3V4,905-457-3370 ext 2,https://peelchildcare.cioc.ca/record/CDR1401,School-Based Centre,Yes,10,,-8868956.621,5433707.436
87,CC-YMC-009,Castlebridge (YMCA),Social Services,Child Care (YMCA),Child Care Centre,2801 Castlebridge Dr,,Mississauga,ON,L5M 5J9,416-670-1800,https://peelchildcare.cioc.ca/record/CDR0852,School-Based Centre,Yes,9,308788,-8875823.036,5398830.662
88,CC-PLP-233,Castlemore (PLASP),Social Services,Child Care (PLASP),Child Care Centre,9916 The Gore Rd,,Brampton,ON,L6P 0A7,905-913-0845,https://peelchildcare.cioc.ca/record/CDR1358?Number=216,School-Based Centre,Yes,8,184301,-8870846.953,5432929.066
89,CC-OTH-379,Castlemore Montessori,Social Services,Child Care (Other),Child Care Centre,6455 Mayfield Rd,,Brampton,ON,L6P0H9,647-367-1663,,Community-Based For-Profit Centre,,10,492284,-8877674.135,5434448.801
90,CC-YMC-070,Central Park (YMCA),Social Services,Child Care (YMCA),Child Care Centre,1100 Central Park Dr,,Brampton,ON,L6S 2C9,905-793-5970,https://peelchildcare.cioc.ca/record/CDR0382,Community-Based Non-Profit Centre,No,8,167829,-8874081.274,5424671.045
91,CC-PLP-017,Centre Educatif Eveil aux Savoirs (Saint Jean Baptiste),Social Services,Child Care (French),Child Care Centre,1910 Broad Hollow Gate,,Mississauga,ON,L5L 3T4,905-569-8161,https://peelchildcare.cioc.ca/record/CDR0325,School-Based Centre,Yes,8,,-8868502.04,5394943.352
92,CC-YMC-014,Champlain Trail (YMCA),Social Services,Child Care (YMCA),Child Care Centre,895 Ceremonial Dr,,Mississauga,ON,L5R 3B5,905-507-1058,https://peelchildcare.cioc.ca/record/CDR0498,School-Based Centre,Yes,5,,-8869747.816,5404317.733
93,CC-FDC-007,Cherrytree (Family Day Care),Social Services,Child Care (Family Day),Child Care Centre,155 Cherrytree Dr,,Brampton,ON,L6Y 3M9,416-922-3434,https://peelchildcare.cioc.ca/record/CDR0458,School-Based Centre,Yes,4,57223,-8874921.943,5412065.149
94,CC-OTH-323,Cherubs Cove Montessori Child Care Inc. Downtown Brampton Campus,Social Services,Child Care (Other),Child Care Centre,104 Queen St W,,Brampton,ON,L6X1A4,905-451-0575,https://peelchildcare.cioc.ca/record/CDR1449,Community-Based For-Profit Centre,No,1,444687,-8879115.85,5416658.077
95,CC-OTH-201,Children's Choice Day Care Inc.,Social Services,Child Care (Other),Child Care Centre,2021 Williams Pky E,5 6,Brampton,ON,L6S 5P4,905-789-1716,https://peelchildcare.cioc.ca/record/CDR0392,Community-Based For-Profit Centre,No,8,310714,-8872593.443,5427896.913
96,CC-OTH-242,Children's Circle Montessori School,Social Services,Child Care (Other),Child Care Centre,35 Brisdale Dr,,Brampton,ON,L7A 0S9,905-609-6900,https://peelchildcare.cioc.ca/record/CDR0972,Community-Based For-Profit Centre,No,6,257534,-8884693.374,5416778.809
97,CC-OTH-004,Children's Palace Montessori and Pre-school,Social Services,Child Care (Other),Child Care Centre,820 Southdown Rd,,Mississauga,ON,L5J 2Y4,905-823-3317,https://peelchildcare.cioc.ca/record/CDR0572,Community-Based For-Profit Centre,No,2,49511,-8863912.416,5389534.177
98,CC-OTH-238,Childventures Meadowvale Early Learning Academy Inc.,Social Services,Child Care (Other),Child Care Centre,7030 Royal Bank Dr,,Mississauga,ON,L5N 0B6,905-816-1515,https://peelchildcare.cioc.ca/record/CDR0552,Community-Based For-Profit Centre,No,11,,-8877647.389,5405101.976
99,CC-YMC-074,Chris Hadfield (YMCA),Social Services,Child Care (YMCA),Child Care Centre,465 Fairview Rd,,Mississauga,ON,L5B 3W7,905-276-9322 ext 202,https://peelchildcare.cioc.ca/record/CDR1357,School-Based Centre,Yes,7,396714,-8864949.129,5400260.403
